"sample","value"
"sample_1",13.167
"sample_10",14.667
"sample_100",14.625
"sample_1000",13
"sample_1001",11.15
"sample_1002",11
"sample_1003",12.233
"sample_1004",11.25
"sample_1005",16.367
"sample_1006",16.25
"sample_1007",13.292
"sample_1008",11.55
"sample_1009",12
"sample_101",12
"sample_1010",13.167
"sample_1011",10.95
"sample_1012",18.542
"sample_1013",13.417
"sample_1014",13.667
"sample_1015",11.625
"sample_1016",10.375
"sample_1017",14
"sample_1018",12.167
"sample_1019",11.65
"sample_102",12.733
"sample_1020",13.35
"sample_1021",12.533
"sample_1022",11.8
"sample_1023",12
"sample_1024",12.55
"sample_1025",11.5
"sample_1026",15.167
"sample_1027",10.75
"sample_1028",9.5
"sample_1029",17.167
"sample_103",13.267
"sample_1030",15.833
"sample_1031",14.875
"sample_1032",13.792
"sample_1033",12.2
"sample_1034",13.25
"sample_1035",12.208
"sample_1036",14.292
"sample_1037",13.167
"sample_1038",15.083
"sample_1039",12.875
"sample_104",13.125
"sample_1040",12
"sample_1041",13.167
"sample_1042",10.125
"sample_1043",16.917
"sample_1044",12.267
"sample_1045",11.1
"sample_1046",12.8
"sample_1047",12.267
"sample_1048",12.417
"sample_1049",11.333
"sample_105",14.125
"sample_1050",12.125
"sample_1051",11.125
"sample_1052",14.833
"sample_1053",13.125
"sample_1054",10.2
"sample_1055",11.5
"sample_1056",13.125
"sample_1057",11.75
"sample_1058",12.417
"sample_1059",10.65
"sample_106",15.9
"sample_1060",14.6
"sample_1061",12.292
"sample_1062",10.95
"sample_1063",10.25
"sample_1064",10.25
"sample_1065",13.667
"sample_1066",12
"sample_1067",11
"sample_1068",12.708
"sample_1069",11.3
"sample_107",12.5
"sample_1070",12.292
"sample_1071",13.708
"sample_1072",12.833
"sample_1073",11.542
"sample_1074",12.233
"sample_1075",12.85
"sample_1076",12.417
"sample_1077",12.35
"sample_1078",12
"sample_1079",10.625
"sample_108",14.6
"sample_1080",13.833
"sample_1081",13.042
"sample_1082",12.417
"sample_1083",10.65
"sample_1084",11.833
"sample_1085",12.75
"sample_1086",12.533
"sample_1087",11.125
"sample_1088",9.8
"sample_1089",9.875
"sample_109",10.75
"sample_1090",12.267
"sample_1091",11.042
"sample_1092",10.75
"sample_1093",11.333
"sample_1094",12.583
"sample_1095",11.125
"sample_1096",11.05
"sample_1097",11.15
"sample_1098",12.5
"sample_1099",12.367
"sample_11",15.167
"sample_110",12.875
"sample_1100",11.417
"sample_1101",11.5
"sample_1102",11
"sample_1103",12.875
"sample_1104",11.15
"sample_1105",16.208
"sample_1106",13.542
"sample_1107",11.917
"sample_1108",11.042
"sample_1109",10.867
"sample_111",13.75
"sample_1110",12.533
"sample_1111",20.375
"sample_1112",12
"sample_1113",13.083
"sample_1114",13.375
"sample_1115",14.292
"sample_1116",17.8
"sample_1117",15.125
"sample_1118",15.167
"sample_1119",14.167
"sample_112",12.5
"sample_1120",18.2
"sample_1121",17.125
"sample_1122",13.75
"sample_1123",16.417
"sample_1124",14.458
"sample_1125",13.25
"sample_1126",12.067
"sample_1127",10.625
"sample_1128",13.25
"sample_1129",16.458
"sample_113",13.625
"sample_1130",10.55
"sample_1131",13.75
"sample_1132",13.125
"sample_1133",12.967
"sample_1134",11.5
"sample_1135",10.625
"sample_1136",12.542
"sample_1137",14.75
"sample_1138",13
"sample_1139",13.708
"sample_114",13.3
"sample_1140",14.208
"sample_1141",13.6
"sample_1142",14
"sample_1143",15.967
"sample_1144",14.292
"sample_1145",11.05
"sample_1146",12.25
"sample_1147",14.8
"sample_1148",13.2
"sample_1149",11.5
"sample_115",10
"sample_1150",11.7
"sample_1151",9.875
"sample_1152",13.5
"sample_1153",12.333
"sample_1154",11.8
"sample_1155",12.583
"sample_1156",14.667
"sample_1157",12.55
"sample_1158",13.5
"sample_1159",14.333
"sample_1160",12.167
"sample_1161",13.5
"sample_1162",12.5
"sample_1163",13.9
"sample_1164",15.7
"sample_1165",11.125
"sample_1166",14.367
"sample_1167",15.9
"sample_1168",13.125
"sample_1169",13.3
"sample_117",17.875
"sample_1170",17.65
"sample_1171",13.417
"sample_1172",12.85
"sample_1173",11.625
"sample_1174",13.25
"sample_1175",13
"sample_1176",14.2
"sample_1177",13.167
"sample_1178",16.083
"sample_1179",13.2
"sample_1180",14.167
"sample_1181",12.367
"sample_1182",13.333
"sample_1183",15.933
"sample_1184",9.25
"sample_1185",12.733
"sample_1186",13.708
"sample_1187",12.542
"sample_1188",16.042
"sample_1189",15.167
"sample_119",14.875
"sample_1190",12.5
"sample_1191",12.433
"sample_1192",14.067
"sample_1193",12.25
"sample_1194",12.2
"sample_1195",11.875
"sample_1196",11.55
"sample_1197",12.2
"sample_1198",12.167
"sample_1199",12
"sample_12",14.917
"sample_120",12.375
"sample_1200",11.875
"sample_1201",13.4
"sample_1202",13.875
"sample_1203",12.433
"sample_1204",11.667
"sample_1205",12.733
"sample_1206",14.05
"sample_1207",13.25
"sample_1208",14.7
"sample_1209",10.3
"sample_121",13.667
"sample_1210",11.367
"sample_1211",12.667
"sample_1212",11.35
"sample_1213",10.95
"sample_1214",11.1
"sample_1215",14.933
"sample_1216",12.05
"sample_1217",12.2
"sample_1218",12.542
"sample_1219",10.7
"sample_122",16.25
"sample_1220",13
"sample_1221",14.133
"sample_1222",12.45
"sample_1223",15.75
"sample_1224",14.233
"sample_1225",12.917
"sample_1226",11.125
"sample_1227",10
"sample_1228",14
"sample_1229",20.75
"sample_123",12.833
"sample_1230",13.667
"sample_1231",11.583
"sample_1232",12.25
"sample_1233",12.55
"sample_1234",13.233
"sample_1235",14.042
"sample_1236",12.75
"sample_1237",11.875
"sample_1238",12.708
"sample_1239",11.917
"sample_124",12.667
"sample_1240",13.35
"sample_1241",13.5
"sample_1242",13.625
"sample_1243",12.533
"sample_1244",13.917
"sample_1245",16.05
"sample_1246",14.167
"sample_1247",18.167
"sample_1248",10.3
"sample_1249",12.55
"sample_125",10.458
"sample_1250",12.375
"sample_1251",12.167
"sample_1252",13.5
"sample_1253",10.1
"sample_1254",14.167
"sample_1255",12.5
"sample_1256",12.95
"sample_1257",12.333
"sample_1258",10.875
"sample_1259",14.667
"sample_126",12.125
"sample_1260",14.7
"sample_1261",12.083
"sample_1262",13.542
"sample_1263",15.25
"sample_1264",11.25
"sample_1265",11.45
"sample_1266",12.5
"sample_1267",13.05
"sample_1268",14.4
"sample_1269",11.733
"sample_127",13.417
"sample_1270",13.567
"sample_1271",11
"sample_1274",17.933
"sample_1276",12
"sample_1277",16.167
"sample_1278",11.375
"sample_1279",13.125
"sample_128",13.375
"sample_1280",13.05
"sample_1281",13.5
"sample_1282",14.95
"sample_1283",11.25
"sample_1284",13.125
"sample_1285",14.167
"sample_1286",13.333
"sample_1287",14.9
"sample_1288",14.333
"sample_1289",12.75
"sample_129",12.5
"sample_1290",13.042
"sample_1291",12.967
"sample_1292",13
"sample_1293",12.875
"sample_1294",13
"sample_1295",11.9
"sample_1296",13.35
"sample_1297",12.55
"sample_1298",14.375
"sample_1299",11.375
"sample_13",13
"sample_130",12.05
"sample_1300",13
"sample_1301",15
"sample_1302",12.8
"sample_1303",11.75
"sample_1304",13.542
"sample_1305",11
"sample_1306",13.2
"sample_1307",14
"sample_1308",12.967
"sample_1309",14.3
"sample_131",13.792
"sample_1310",14.375
"sample_1311",11.875
"sample_1312",13.458
"sample_1313",14.125
"sample_1314",14.625
"sample_1315",13.15
"sample_1316",14.708
"sample_1317",8.2
"sample_1318",11.5
"sample_1319",13.367
"sample_132",13.1
"sample_1320",14.35
"sample_1321",15.125
"sample_1322",14.625
"sample_1323",15.5
"sample_1324",13.733
"sample_1325",12
"sample_1326",12.633
"sample_1327",14.05
"sample_1328",12
"sample_1329",11.083
"sample_133",12.833
"sample_1330",11.667
"sample_1331",17.75
"sample_1332",15
"sample_1333",15.167
"sample_1334",13.8
"sample_1335",13.95
"sample_1336",13.5
"sample_1337",12.25
"sample_1338",12.05
"sample_1339",13.625
"sample_134",11.8
"sample_1340",12.958
"sample_1341",14.458
"sample_1342",14
"sample_1343",13.6
"sample_1344",12.625
"sample_1345",12.767
"sample_1346",12.75
"sample_1347",18.417
"sample_1348",15.067
"sample_1349",14.417
"sample_135",19
"sample_1350",12.667
"sample_1351",15.417
"sample_1352",14.125
"sample_1353",15.958
"sample_1354",14.875
"sample_1355",14.5
"sample_1356",12.8
"sample_1357",15.625
"sample_1358",14.5
"sample_1359",11.35
"sample_136",13.5
"sample_1360",11.667
"sample_1361",14.375
"sample_1362",12.05
"sample_1363",11.125
"sample_1364",10.75
"sample_1365",11.35
"sample_1366",12.833
"sample_1367",15.167
"sample_1368",19.75
"sample_1369",11.167
"sample_137",11.7
"sample_1370",13.542
"sample_1371",11.15
"sample_1372",11.125
"sample_1373",12.375
"sample_1374",13.7
"sample_1375",11.292
"sample_1376",11.125
"sample_1377",15.25
"sample_1378",16
"sample_1379",13.917
"sample_138",17.667
"sample_1380",12
"sample_1381",10.667
"sample_1382",13
"sample_1383",15.5
"sample_1384",13.208
"sample_1385",12.85
"sample_1386",12.667
"sample_1387",10.417
"sample_1388",11.625
"sample_1389",15.542
"sample_139",14.9
"sample_1390",15
"sample_1391",13.542
"sample_1392",10.125
"sample_1393",13.625
"sample_1394",13.792
"sample_1395",13.15
"sample_1396",12
"sample_1397",13.75
"sample_1398",12.875
"sample_1399",15.2
"sample_14",14.292
"sample_140",12.625
"sample_1400",13.625
"sample_1401",12.375
"sample_1402",12.3
"sample_1403",13.15
"sample_1404",15.567
"sample_1405",14
"sample_1406",12.75
"sample_1407",20.625
"sample_1408",14.167
"sample_1409",13.75
"sample_141",11.625
"sample_1410",13.833
